state,created
unknown,"2016-12-16 19:33:22.148945"
unknown,"2016-12-16 19:48:11.516207"
0.3,"2016-12-30 00:00:32.403322"
1.1,"2016-12-30 00:31:00.643904"
3.3,"2016-12-30 01:00:30.816437"
3.0,"2016-12-30 01:30:30.756965"
1.4,"2016-12-30 02:00:30.761504"
2.4,"2016-12-30 02:30:30.747955"
0.0,"2016-12-30 03:00:30.700740"
2.2,"2016-12-30 03:30:30.694218"
4.3,"2016-12-30 04:00:30.728164"
4.1,"2016-12-30 04:30:30.765090"
5.2,"2016-12-30 05:00:30.755656"
6.0,"2016-12-30 05:30:30.745552"
3.0,"2016-12-30 06:00:30.740748"
1.1,"2016-12-30 06:31:00.753463"
0.5,"2016-12-30 07:00:30.737862"
0,"2016-12-30 07:30:30.725555"
0.3,"2016-12-30 08:01:00.643654"
0.8,"2016-12-30 09:01:00.679962"
0.3,"2016-12-30 09:31:00.632726"
0.0,"2016-12-30 10:01:00.653208"
0.8,"2016-12-30 11:01:00.661134"
0,"2016-12-30 11:30:30.743298"
0.3,"2016-12-30 12:01:00.642210"
0.0,"2016-12-30 12:31:00.636770"
1.1,"2016-12-30 13:01:00.625090"
1.9,"2016-12-30 13:30:30.755241"
1.1,"2016-12-30 14:01:00.646917"
3.8,"2016-12-30 14:30:30.880995"
2.4,"2016-12-30 15:00:30.774071"
2.7,"2016-12-30 15:30:30.778891"
1.6,"2016-12-30 16:00:30.720365"
5.4,"2016-12-30 16:30:30.741539"
6.0,"2016-12-30 17:00:30.771975"
4.3,"2016-12-30 17:31:00.608086"
0.8,"2016-12-30 18:00:30.741387"
4.9,"2016-12-30 18:30:30.927181"
3.0,"2016-12-30 19:00:30.700047"
2.4,"2016-12-30 19:30:30.758952"
2.2,"2016-12-30 20:00:31.525949"
2.7,"2016-12-30 20:31:00.710194"
1.4,"2016-12-30 21:00:30.737326"
1.6,"2016-12-30 21:30:30.734063"
0.8,"2016-12-30 22:00:30.740884"
2.4,"2016-12-30 22:30:30.771755"
2.2,"2016-12-30 23:00:30.752349"
1.9,"2016-12-31 00:00:30.757028"
2.2,"2016-12-31 00:30:30.725072"
1.6,"2016-12-31 01:00:30.717578"
2.7,"2016-12-31 01:30:30.752328"
1.1,"2016-12-31 02:00:30.758860"
3.3,"2016-12-31 02:30:30.771919"
0,"2016-12-31 03:00:30.738566"
0.3,"2016-12-31 04:01:00.652631"
0.0,"2016-12-31 04:31:00.635313"
0.3,"2016-12-31 05:01:00.650593"
0.0,"2016-12-31 05:31:00.661135"
0.3,"2016-12-31 06:01:00.673161"
1.9,"2016-12-31 07:00:30.709854"
2.2,"2016-12-31 08:00:30.734846"
1.6,"2016-12-31 08:30:30.747404"
2.4,"2016-12-31 09:00:30.692904"
1.6,"2016-12-31 10:00:30.729185"
0,"2016-12-31 10:30:30.717422"
0.8,"2016-12-31 12:01:00.644606"
0.0,"2016-12-31 12:31:00.642498"
1.6,"2016-12-31 13:01:00.623783"
2.4,"2016-12-31 13:30:30.693315"
1.6,"2016-12-31 14:00:30.726380"
2.2,"2016-12-31 14:30:30.768240"
1.4,"2016-12-31 15:00:30.739518"
2.2,"2016-12-31 15:30:32.374894"
1.9,"2016-12-31 16:01:00.646458"
0.8,"2016-12-31 17:00:30.721683"
2.2,"2016-12-31 17:30:30.733242"
1.9,"2016-12-31 18:30:30.758176"
1.1,"2016-12-31 19:00:30.767295"
3.0,"2016-12-31 19:30:30.777212"
1.6,"2016-12-31 20:00:30.774168"
2.2,"2016-12-31 20:30:30.763537"
1.1,"2016-12-31 21:00:30.772418"
2.4,"2016-12-31 21:30:30.731940"
0.8,"2016-12-31 22:00:30.768874"
2.2,"2016-12-31 22:30:30.744488"
1.1,"2016-12-31 23:00:30.746571"
1.9,"2016-12-31 23:30:30.769244"
1.4,"2017-01-01 00:00:30.749657"
2.7,"2017-01-01 00:30:30.750094"
1.6,"2017-01-01 01:00:30.766183"
1.9,"2017-01-01 01:30:30.768371"
1.4,"2017-01-01 02:00:30.762745"
2.4,"2017-01-01 02:30:30.730375"
0,"2017-01-01 03:00:30.749637"
0.5,"2017-01-01 04:01:00.649930"
1.4,"2017-01-01 04:31:00.683664"
1.6,"2017-01-01 05:00:30.710772"
2.7,"2017-01-01 05:30:30.746385"
1.9,"2017-01-01 06:00:30.747888"
2.2,"2017-01-01 06:30:30.759645"
1.4,"2017-01-01 07:00:30.767970"
2.7,"2017-01-01 07:30:30.743560"
1.1,"2017-01-01 08:00:30.818645"
1.6,"2017-01-01 08:30:30.762362"
2.2,"2017-01-01 09:00:30.752476"
1.6,"2017-01-01 09:30:30.723858"
unknown,"2017-01-01 10:01:19.341854"
4.9,"2017-01-01 10:30:30.797473"
0,"2017-01-01 11:00:30.770613"
3.0,"2017-01-01 11:30:30.737589"
0.5,"2017-01-01 12:00:30.721055"
1.9,"2017-01-01 12:30:30.729160"
0.8,"2017-01-01 13:00:30.734052"
1.6,"2017-01-01 13:30:30.778964"
2.2,"2017-01-01 14:00:30.758504"
2.7,"2017-01-01 14:30:30.753392"
0.8,"2017-01-01 15:00:30.754651"
3.5,"2017-01-01 15:30:30.736912"
0.5,"2017-01-01 16:00:31.149957"
4.3,"2017-01-01 16:30:30.748937"
